timecode,story,scene (overall),scene (order),scene (chron),transition type,transition notes,JS,BW,HB,JB,DB,TH,HG,HW,SS,KD,JD,ZX,DG,Audio Type,Audio Source,Description,Notes
0:00,n/a,,,alt,,,,,,,,,,,,,,,,,,studio credits,
23:10,6,1,1,26,n/a,,,,,,,x,,,,,,,,,,campfire,intro film
1:41:19,1,2,1,1,"actor,dialogue",,x,,,,,x,,,,,,,,,,meeting on beach,
2:07:20,3,3,1,7,,,,,x,,,,,,,,,,,,,driving to swanneke,
2:32:02,4,4,1,22,,,,,,x,,,,,,,,,,,,typing the book,
2:48:18,2,5,1,18,,,,x,,,,,x,,,,,,,,,last letter; suicide prep,
3:16:15,5,6,1,29,,,,,,,x,,,,,,x,,,,,final archivist interview start,
3:37:11,3,7,1,7,,,,,x,,,,,,,,,,,,,driving to swanneke (cont),
3:50:06,4,8,1,22,,,,,,x,,,,,,,,,,,,typing the book (cont),talking to nobody in particular
4:00:14,1,9,1,1,,,x,,,,,x,,,,,,,,,,meeting on beach (cont),weak meat strong eat
4:20:04,5,10,1,29,,,,,,,x,,,,,,x,,,,,final archivist interview (cont),
4:38:02,2,11,1,18,,,,x,,,,,,,,,,,,,,suicide (cont),but not the actual act
4:51:07,n/a,,,alt,cut to black,,,,,,,,,,,,,,,,,title card,
5:02:15,1,12,2,2,,,x,,,,,,x,,,,,,,,,signing of the slave contract,(+establishing shot)
5:43:15,1,13,3,3,,,x,,,,,x,x,,x,x,,,,,,dinner table conversation,“kupaka very happy”; “what does [god] have to say on the subject of women?”
6:58:05,1,14,4,4,,,x,,c,,,x,,,,x,,,x,,,whipping scene,Autua and Ewing meet and lock eyes
8:20:00,1,15,5,5,,,x!,,,,,x,,,,,,,,,,sick ewing’s bedside,
9:17:22,2,16,2,1,,,,x!,,,,,,,,,x,,,,,sixsmith’s dorm bed,(+establishing shot)
10:18:12,2,17,3,2,,,,x,,x,,,,,,,x,,,,,frobisher travel montage,explains his plan to meet ayrs via letter to sixsmith
11:14:08,2,18,4,3,,,,x,x,x,,,,,,,,,,,,first amanuensis session,
14:28:06,3,19,2,1,music,diegetic => non,,,x!,,,,,,,,x,,,,,elevator,(+establishing shot)
19:03:04,4,20,2,1,,,,,c,x,,x,,,,,,,,,,felix fookin finch goes for a flyabout,(+establishing shot)
22:34:05,4,21,3,2,,,,,,x,,,,,,,,,,,,knuckle sandwich media coverage,montage sequence
22:48:16,4,22,4,3,,,,,,x,,,,,,,,,,,,felix’s goons come to collect,
24:16:16,5,23,1,29,,,,,,,x,,,,,,x,,,,,the archivist begins,
25:03:17,5,24,2,1,,,,,,,x,,x,,,,,x,,,,intro to papa song’s,
25:55:09,5,25,1,29,,,,,,,x,,,,,,x,,,,,“honor thy consumer”,
25:59:15,5,26,2,1,,,,,,,x,,,,,,,,,,,intro to papa song’s (cont),
